anio,mes,banco,activos,pasivos,patrimonio,carterabruta,depositos,utilidad,calificacion
2020,11,AMAZONAS,243.37,217.75,26,103.31,206.85,0,AA
2020,11,CODESARROLLO,194.79,171.89,22,151.19,135.39,0,C
2020,11,COOPNACIONAL,183.03,152.48,30,93.45,148.29,1,AA
2020,11,D-MIRO,111.96,91.46,23,82.26,35.53,-2,A
2020,11,FINCA,89.61,75.6,15,61.61,58.71,-1,BBB
2020,11,VISIONFUND,87.13,69.37,16,77.96,11.4,2,AA
2020,11,COMERCIAL DE MANABI,52.47,39.83,13,31,38.37,0,BB
2020,11,LITORAL,38.31,27.02,12,28.23,25.59,0,A
2020,11,DELBANK,31.49,20.43,11,19.27,17.91,0,A
2020,11,CAPITAL,27.6,20.4,9,12.22,17.89,-2,C
2020,12,PICHINCHA,12614.72,11349.05,1266,7200.03,10141.87,50,AAA
2020,12,PACIFICO,6951.45,6157.5,794,4287.8,5151.49,30,AAA
2020,12,GUAYAQUIL,5761.26,5225.86,535,3474.76,4373.17,33,AAA
2020,12,PRODUBANCO,5513.4,5069.33,444,3430.83,4451.12,20,AAA
2020,12,BOLIVARIANO,4001.85,3643.44,358,2339.41,3256.06,30,AAA
2020,12,INTERNACIONAL,3965.18,3579.14,386,2378.4,3300.27,28,AAA
2020,12,DINERS CLUB,2233.78,1787.51,446,1988.42,1215.69,21,AAA
2020,12,AUSTRO,2050.5,1851.69,199,1118.21,1775.74,8,AAA
2020,12,GENERAL RUMIÑAHUI,993.11,910.53,83,624.68,813.76,7,AAA
2020,12,MACHALA,861.29,797.28,64,523.41,765.92,2,AA
2020,12,SOLIDARIO,762.84,611.72,151,600.86,388.84,1,AA
2020,12,CITIBANK,616.24,538.02,78,186.67,468.91,2,AAA
2020,12,LOJA,562.76,502.76,60,330.23,479.83,3,AAA
2020,12,PROCREDIT,489.18,431.55,58,389.17,229.74,0,AAA
2020,12,AMAZONAS,241.32,217.24,24,101.03,201.15,0,AA
2020,12,CODESARROLLO,203.82,180.64,23,152.26,144.41,0,C
2020,12,COOPNACIONAL,190.15,159.7,30,96.11,156.08,1,AA
2020,12,D-MIRO,112.33,92.46,20,82.15,36.9,-3,A
2020,12,FINCA,92.95,78.41,15,61.82,61.75,0,BBB
2020,12,VISIONFUND,87.75,69.96,18,80.25,12.42,2,AA
2020,12,COMERCIAL DE MANABI,54.67,41.98,13,31.49,40.8,0,BB
2020,12,LITORAL,40.17,28.92,11,28.41,27.59,0,A
2020,12,DELBANK,31.77,20.67,11,19.12,18.37,0,A
2020,12,CAPITAL,25.89,18.7,7,12.71,16.25,-2,C
2023,1,AMAZONAS,326,301,25,155.79,275,0,AA
2023,1,AUSTRO,2430,2204,225,1340.49,2039,1,AAA
2023,1,BOLIVARIANO,4600,4144,451,2965.14,3601,5,AAA
2023,1,CAPITAL,41,36,6,24.88,33,0,C
2023,1,CITIBANK,791,704,85,379.13,660,2,AAA
2023,1,CODESARROLLO,244,214,30,194.22,168,0,C
